年齡,工作,婚姻,學歷,連絡方式,最後聯絡時間,聯絡次數,消費價格指數,消費信心指數,訂購
56.0,家管,未知,高職,市話,192.0,9,66.494,-8.8,頻繁
56.0,未知,已婚,專科,手機,195.0,8,84.327,3.8,偶爾
41.0,無業,單身,博士,市話,456.0,8,77.649,-4.5,一次
34.0,經理,未知,國中,手機,521.0,7,93.168,40.1,一次
21.0,學生,未知,專科,市話,50.0,5,73.290,4.2,一次
23.0,經理,未知,博士,手機,957.0,5,77.687,-22.4,頻繁
41.0,藍領,已婚,大學,手機,437.0,9,64.070,-17.4,偶爾
54.0,家管,已婚,國中,手機,659.0,1,83.798,-9.9,一次
35.0,退休,單身,高中,手機,101.0,6,82.872,3.5,頻繁
63.0,經理,離婚,國中,市話,349.0,9,72.740,-34.0,從未
31.0,退休,離婚,博士,手機,611.0,12,65.568,12.5,頻繁
55.0,經理,未知,小學,市話,885.0,8,84.028,-26.8,一次
42.0,技術員,已婚,小學,市話,460.0,12,91.850,26.4,從未
35.0,主管,離婚,專科,手機,332.0,7,94.555,12.7,偶爾
47.0,學生,離婚,高職,市話,958.0,3,77.174,-31.8,頻繁
34.0,藍領,已婚,小學,市話,951.0,11,81.388,21.4,頻繁
23.0,主管,離婚,國中,手機,485.0,5,80.797,4.7,一次
60.0,無業,未知,專科,手機,452.0,11,78.665,-8.9,偶爾
50.0,退休,已婚,大學,市話,972.0,1,81.203,9.0,一次
29.0,無業,單身,大學,手機,797.0,6,80.611,-18.7,頻繁
30.0,主管,已婚,小學,手機,175.0,8,91.802,6.5,頻繁
53.0,服務業,已婚,大學,手機,181.0,7,82.455,44.9,一次
49.0,未知,已婚,國中,手機,380.0,3,85.096,46.1,從未
63.0,主管,離婚,小學,手機,405.0,6,69.005,10.0,從未
26.0,家管,已婚,小學,手機,67.0,4,86.665,-25.4,從未
25.0,未知,未知,博士,市話,244.0,8,87.507,33.9,一次
46.0,未知,單身,小學,市話,424.0,8,91.042,2.3,一次
48.0,退休,已婚,小學,市話,471.0,4,88.396,20.6,偶爾
68.0,家管,單身,博士,市話,589.0,6,65.147,-28.8,頻繁
30.0,經理,單身,專科,市話,926.0,2,86.645,-39.7,從未
42.0,無業,單身,專科,手機,719.0,6,82.489,47.6,一次
49.0,藍領,未知,高職,手機,392.0,8,70.100,-29.8,頻繁
22.0,企業家,已婚,高職,手機,74.0,9,99.342,12.6,從未
29.0,未知,未知,博士,市話,348.0,6,72.657,7.7,一次
30.0,無業,單身,小學,手機,472.0,2,64.816,-31.2,頻繁
37.0,家管,未知,專科,市話,429.0,6,93.178,47.6,頻繁
50.0,服務業,單身,博士,市話,661.0,1,78.033,-27.1,從未
53.0,學生,已婚,博士,市話,21.0,8,80.037,24.2,一次
47.0,家管,單身,高職,手機,742.0,2,90.977,-26.7,頻繁
33.0,技術員,未知,高職,市話,675.0,4,81.243,-22.8,從未
30.0,學生,離婚,國中,手機,191.0,2,94.032,40.8,偶爾
32.0,退休,已婚,高職,手機,148.0,12,96.766,21.8,從未
41.0,學生,單身,大學,市話,617.0,6,77.609,25.6,一次
50.0,家管,離婚,大學,手機,340.0,6,99.406,0.6,一次
37.0,未知,離婚,小學,手機,443.0,12,67.844,37.7,一次
63.0,學生,已婚,高中,市話,439.0,6,60.084,42.2,一次
57.0,服務業,單身,小學,手機,491.0,12,73.093,-12.3,一次
22.0,服務業,未知,小學,手機,907.0,5,70.464,36.5,偶爾
41.0,服務業,未知,專科,手機,632.0,9,62.604,42.9,從未
30.0,藍領,已婚,國中,市話,853.0,8,78.338,-37.9,頻繁
28.0,技術員,離婚,國中,市話,306.0,2,76.287,-35.4,頻繁
22.0,自僱人士,未知,小學,手機,744.0,8,98.241,48.1,從未
24.0,未知,未知,高中,市話,290.0,5,88.066,29.0,一次
68.0,無業,未知,大學,市話,147.0,2,80.430,-29.1,頻繁
49.0,服務業,離婚,小學,市話,994.0,5,83.108,-40.0,從未
43.0,家管,離婚,大學,手機,664.0,4,66.014,-33.5,偶爾
50.0,退休,離婚,國中,市話,789.0,3,95.555,-23.3,一次
35.0,自僱人士,未知,高中,市話,678.0,2,85.043,-43.3,一次
57.0,家管,離婚,高職,手機,928.0,2,77.894,8.5,從未
66.0,無業,未知,小學,手機,25.0,4,89.258,27.2,一次
38.0,藍領,已婚,國中,手機,34.0,9,91.121,26.6,一次
65.0,主管,未知,博士,手機,559.0,10,83.735,-20.1,偶爾
67.0,藍領,離婚,高中,手機,590.0,12,67.419,-15.2,偶爾
46.0,主管,單身,高職,市話,333.0,10,64.475,-19.8,偶爾
38.0,家管,已婚,博士,手機,800.0,8,80.743,26.7,偶爾
35.0,經理,離婚,專科,市話,661.0,3,65.157,-6.3,從未
56.0,未知,已婚,大學,市話,553.0,12,97.694,-14.5,頻繁
46.0,經理,已婚,專科,手機,814.0,11,89.678,21.3,偶爾
41.0,自僱人士,已婚,小學,手機,705.0,5,69.295,48.9,一次
21.0,服務業,已婚,國中,手機,701.0,12,92.079,-0.7,從未
37.0,無業,單身,國中,市話,294.0,8,97.144,41.1,頻繁
56.0,家管,未知,高中,市話,478.0,9,97.103,-22.2,從未
61.0,主管,離婚,專科,市話,940.0,3,84.057,-15.7,從未
56.0,藍領,離婚,高職,市話,711.0,9,98.535,-15.0,從未
67.0,退休,單身,大學,手機,845.0,10,74.483,44.1,偶爾
40.0,企業家,已婚,高職,手機,85.0,12,75.060,-48.8,頻繁
37.0,藍領,單身,大學,市話,832.0,12,63.942,-29.6,偶爾
69.0,服務業,單身,高職,手機,867.0,9,81.361,4.2,偶爾
23.0,學生,已婚,專科,手機,506.0,8,65.582,-26.9,頻繁
39.0,自僱人士,已婚,國中,市話,534.0,2,83.331,-14.8,一次
20.0,主管,未知,國中,市話,750.0,10,87.184,-28.4,頻繁
36.0,家管,離婚,大學,市話,969.0,3,98.526,-6.7,從未
49.0,退休,離婚,專科,市話,725.0,3,70.860,-49.1,偶爾
41.0,經理,單身,高中,市話,141.0,9,85.339,-22.6,偶爾
30.0,家管,已婚,專科,手機,201.0,4,83.098,11.0,從未
20.0,藍領,離婚,高職,市話,632.0,10,76.081,18.5,頻繁
31.0,家管,未知,博士,手機,48.0,6,93.197,-0.5,一次
40.0,未知,離婚,小學,手機,828.0,10,70.330,1.6,從未
52.0,服務業,未知,高職,手機,156.0,11,87.621,47.1,頻繁
67.0,經理,已婚,高職,市話,329.0,5,66.232,-36.6,一次
36.0,技術員,離婚,專科,手機,630.0,3,76.092,45.8,頻繁
50.0,無業,已婚,國中,市話,537.0,5,60.127,38.4,從未
49.0,學生,未知,專科,市話,648.0,9,97.684,0.2,一次
69.0,自僱人士,單身,大學,手機,789.0,12,90.924,42.3,一次
56.0,學生,未知,高職,市話,868.0,2,92.780,-13.1,從未
39.0,學生,離婚,專科,市話,444.0,10,67.522,40.8,偶爾
27.0,未知,已婚,專科,市話,102.0,5,96.094,-41.1,一次
29.0,企業家,單身,博士,手機,831.0,7,88.521,27.7,頻繁
56.0,未知,未知,大學,市話,256.0,6,69.232,47.1,偶爾
66.0,無業,已婚,小學,市話,803.0,3,97.180,-26.1,頻繁
35.0,未知,離婚,大學,市話,597.0,1,96.425,40.5,從未
54.0,退休,已婚,國中,市話,447.0,6,75.555,32.8,偶爾
53.0,經理,未知,小學,市話,509.0,5,77.444,43.0,一次
63.0,主管,已婚,專科,市話,326.0,5,94.975,-21.0,偶爾
30.0,自僱人士,離婚,博士,市話,510.0,12,96.535,33.2,從未
57.0,學生,單身,專科,手機,463.0,8,81.198,-23.0,從未
38.0,主管,未知,國中,手機,421.0,11,90.155,29.4,頻繁
59.0,企業家,單身,專科,市話,948.0,11,77.938,5.3,偶爾
51.0,企業家,單身,專科,市話,853.0,11,69.677,25.7,頻繁
43.0,自僱人士,單身,高中,市話,327.0,4,69.019,-5.8,一次
59.0,技術員,單身,大學,手機,671.0,3,84.106,14.8,從未
22.0,企業家,未知,大學,手機,691.0,9,74.571,43.9,頻繁
35.0,無業,離婚,小學,市話,471.0,7,83.776,14.7,頻繁
38.0,學生,未知,博士,市話,233.0,5,88.742,14.2,頻繁
58.0,服務業,單身,高中,手機,254.0,6,76.161,19.0,頻繁
21.0,退休,離婚,大學,市話,711.0,6,94.044,-25.4,一次
54.0,藍領,單身,國中,手機,229.0,7,82.282,-12.4,從未
67.0,藍領,單身,高中,手機,63.0,12,60.163,-43.3,一次
66.0,經理,未知,大學,市話,713.0,10,75.128,-1.3,偶爾
23.0,主管,單身,小學,市話,696.0,4,82.848,8.1,從未
65.0,家管,已婚,大學,手機,903.0,11,64.125,-3.6,頻繁
47.0,家管,未知,國中,手機,699.0,8,82.011,34.5,頻繁
52.0,退休,離婚,高職,手機,836.0,8,71.802,-23.1,一次
27.0,自僱人士,單身,小學,市話,707.0,3,78.748,-36.7,頻繁
68.0,服務業,未知,博士,市話,961.0,5,85.642,-24.7,頻繁
57.0,經理,離婚,高職,手機,56.0,5,60.482,48.7,一次
37.0,經理,離婚,國中,市話,46.0,11,70.750,-3.3,頻繁
23.0,經理,未知,高中,手機,690.0,1,94.443,-28.3,從未
27.0,家管,離婚,大學,手機,392.0,10,73.958,4.7,頻繁
54.0,技術員,單身,小學,市話,593.0,2,85.328,-1.8,偶爾
30.0,經理,已婚,高中,市話,139.0,8,69.591,-33.1,頻繁
46.0,服務業,離婚,專科,市話,49.0,4,97.103,41.6,從未
55.0,無業,單身,國中,手機,40.0,7,89.132,-7.1,一次
27.0,服務業,離婚,小學,手機,93.0,3,65.792,-5.7,偶爾
60.0,未知,已婚,大學,市話,284.0,10,94.982,-24.5,偶爾
37.0,主管,單身,專科,市話,778.0,5,75.017,46.1,頻繁
49.0,無業,未知,小學,手機,609.0,9,81.508,27.6,偶爾
33.0,未知,單身,高中,手機,643.0,8,74.351,-9.7,頻繁
61.0,企業家,未知,小學,手機,668.0,6,69.253,28.3,頻繁
68.0,經理,未知,專科,手機,967.0,7,78.856,21.3,頻繁
61.0,學生,未知,國中,手機,648.0,10,81.044,48.0,偶爾
31.0,無業,未知,小學,市話,882.0,9,73.145,-11.5,偶爾
42.0,學生,單身,小學,手機,249.0,9,87.625,13.5,頻繁
34.0,未知,未知,小學,手機,458.0,5,92.596,-24.7,偶爾
22.0,藍領,已婚,高職,市話,751.0,7,86.995,2.9,一次
69.0,企業家,單身,博士,市話,255.0,1,96.127,-17.2,頻繁
61.0,無業,離婚,大學,手機,445.0,10,73.157,-1.8,頻繁
25.0,自僱人士,未知,專科,市話,787.0,3,67.952,10.5,從未
56.0,家管,單身,大學,手機,682.0,8,99.192,-11.8,從未
21.0,自僱人士,離婚,高職,市話,201.0,11,89.384,33.1,從未
22.0,未知,未知,高職,手機,668.0,10,65.044,42.8,頻繁
27.0,無業,未知,國中,手機,392.0,12,86.198,-43.7,偶爾
46.0,技術員,未知,專科,市話,835.0,8,66.244,3.3,頻繁
39.0,經理,已婚,高職,手機,435.0,9,72.752,43.7,一次
39.0,技術員,離婚,專科,市話,993.0,11,65.617,-44.1,一次
36.0,退休,離婚,小學,市話,885.0,2,72.533,-4.1,頻繁
25.0,未知,未知,國中,手機,900.0,8,61.345,26.5,一次
44.0,服務業,離婚,高中,市話,130.0,12,77.748,35.4,從未
21.0,經理,未知,國中,市話,379.0,11,62.389,19.2,頻繁
50.0,經理,單身,專科,手機,779.0,9,60.699,43.8,偶爾
25.0,技術員,已婚,專科,手機,636.0,9,92.976,-15.6,一次
23.0,退休,單身,國中,市話,140.0,5,80.023,-40.4,一次
25.0,未知,已婚,高職,手機,507.0,4,73.682,-16.0,一次
67.0,主管,單身,高中,市話,756.0,10,89.367,-1.3,頻繁
36.0,企業家,未知,專科,手機,954.0,12,95.645,-15.7,偶爾
46.0,服務業,已婚,博士,市話,880.0,6,78.933,2.3,一次
38.0,技術員,未知,小學,市話,399.0,5,79.886,-21.2,一次
63.0,無業,未知,高職,手機,842.0,3,86.794,-47.9,從未
60.0,技術員,單身,小學,手機,869.0,10,64.892,-15.3,偶爾
47.0,服務業,未知,大學,手機,890.0,1,62.508,-35.7,從未
33.0,未知,單身,高職,市話,481.0,9,97.098,-33.3,一次
44.0,自僱人士,離婚,小學,市話,423.0,8,86.598,-19.3,從未
43.0,藍領,離婚,小學,手機,832.0,5,81.164,1.9,頻繁
40.0,家管,單身,高職,市話,128.0,4,73.011,-16.0,一次
46.0,企業家,未知,小學,手機,126.0,11,65.877,-34.7,偶爾
45.0,自僱人士,未知,國中,市話,244.0,3,95.003,-10.8,偶爾
41.0,退休,未知,專科,市話,758.0,10,68.738,-8.4,從未
47.0,無業,已婚,高中,市話,469.0,11,76.422,-8.1,偶爾
23.0,家管,離婚,大學,手機,348.0,10,65.087,-28.5,頻繁
57.0,學生,單身,專科,市話,399.0,1,98.713,-2.7,從未
56.0,退休,離婚,大學,市話,981.0,4,78.754,-5.0,偶爾
21.0,自僱人士,單身,高中,市話,347.0,1,78.626,45.7,一次
43.0,企業家,離婚,高職,手機,554.0,4,99.251,34.2,偶爾
47.0,企業家,已婚,專科,手機,585.0,7,62.595,-14.6,一次
34.0,技術員,單身,博士,市話,70.0,8,69.483,13.9,從未
25.0,無業,離婚,高職,市話,838.0,5,81.733,-4.5,頻繁
39.0,無業,單身,專科,市話,64.0,8,67.600,-14.5,從未
60.0,未知,離婚,大學,手機,394.0,1,77.662,22.8,一次
60.0,無業,已婚,國中,市話,493.0,11,62.349,-41.0,頻繁
30.0,技術員,離婚,國中,手機,383.0,5,75.856,-24.0,從未
66.0,無業,已婚,大學,手機,233.0,12,63.936,-31.3,偶爾
42.0,藍領,已婚,高中,市話,449.0,9,82.363,2.0,一次
50.0,主管,已婚,國中,手機,226.0,4,98.784,24.0,頻繁
65.0,家管,已婚,大學,手機,792.0,6,74.888,0.4,頻繁
59.0,自僱人士,已婚,高職,市話,400.0,8,78.703,0.5,從未
27.0,家管,已婚,小學,市話,158.0,10,74.005,-4.4,一次
62.0,企業家,已婚,高職,市話,840.0,2,90.880,46.9,偶爾
53.0,未知,離婚,高職,市話,741.0,9,69.157,-41.5,一次
41.0,主管,未知,高中,手機,340.0,10,78.091,-34.8,從未
59.0,藍領,未知,高職,手機,273.0,8,92.132,31.8,從未
24.0,無業,已婚,高中,手機,336.0,4,87.885,-39.7,從未
44.0,無業,單身,小學,手機,947.0,4,83.579,-15.9,頻繁
68.0,自僱人士,單身,國中,市話,767.0,6,79.750,-31.1,從未
45.0,技術員,單身,國中,市話,252.0,10,92.017,-41.8,從未
46.0,無業,離婚,專科,市話,333.0,9,70.946,-25.8,從未
50.0,自僱人士,單身,專科,手機,290.0,10,96.795,-36.7,一次
35.0,企業家,離婚,大學,手機,174.0,7,70.671,-28.9,一次
69.0,學生,未知,高職,市話,228.0,6,93.927,27.6,一次
53.0,未知,已婚,高職,手機,894.0,8,60.107,3.1,一次
49.0,主管,單身,高職,手機,879.0,8,74.944,-0.3,頻繁
42.0,無業,單身,高職,市話,519.0,9,99.995,-24.1,一次
37.0,主管,離婚,專科,市話,739.0,8,92.637,-10.4,偶爾
52.0,學生,未知,高職,市話,992.0,5,70.413,26.4,偶爾
68.0,服務業,離婚,專科,手機,612.0,9,83.175,39.3,從未
33.0,經理,未知,專科,市話,908.0,11,68.012,-16.6,頻繁
43.0,藍領,離婚,高職,市話,21.0,9,61.690,20.6,頻繁
58.0,無業,已婚,國中,手機,689.0,2,88.087,-34.8,從未
43.0,學生,離婚,大學,市話,827.0,5,78.615,-13.0,頻繁
59.0,經理,單身,專科,手機,114.0,8,62.316,-2.0,從未
61.0,藍領,未知,小學,市話,963.0,4,68.189,-44.6,一次
39.0,藍領,離婚,專科,市話,766.0,7,73.083,-27.0,頻繁
51.0,主管,未知,高中,市話,138.0,7,80.462,10.2,一次
59.0,藍領,未知,國中,市話,392.0,1,83.092,41.6,從未
58.0,企業家,離婚,大學,手機,975.0,7,66.469,13.4,一次
29.0,自僱人士,未知,大學,手機,162.0,6,70.925,-40.4,頻繁
29.0,服務業,離婚,博士,市話,27.0,9,76.021,37.4,偶爾
28.0,未知,單身,專科,市話,751.0,7,91.683,44.6,一次
48.0,未知,離婚,大學,手機,877.0,5,82.756,23.0,從未
68.0,退休,已婚,專科,手機,120.0,7,74.602,12.3,偶爾
43.0,退休,已婚,高中,手機,639.0,12,95.912,6.3,從未
60.0,學生,已婚,小學,手機,261.0,9,70.130,-27.2,一次
57.0,經理,已婚,高中,手機,170.0,7,77.971,-38.8,偶爾
61.0,學生,離婚,大學,手機,180.0,1,76.383,35.3,頻繁
22.0,技術員,已婚,高職,市話,657.0,4,97.350,5.5,頻繁
34.0,學生,離婚,高中,市話,316.0,10,74.042,2.3,偶爾
24.0,家管,單身,小學,手機,712.0,10,62.141,16.7,從未
31.0,退休,未知,專科,市話,360.0,7,69.754,0.9,一次
53.0,主管,單身,大學,市話,888.0,2,71.313,-14.1,頻繁
27.0,無業,未知,高中,手機,786.0,8,97.172,-28.2,偶爾
20.0,家管,單身,高中,手機,34.0,7,71.390,-24.0,頻繁
57.0,自僱人士,單身,國中,市話,172.0,9,83.316,-4.9,從未
52.0,企業家,未知,專科,市話,157.0,8,97.568,-14.3,偶爾
26.0,服務業,離婚,博士,市話,421.0,9,63.276,28.0,偶爾
34.0,主管,未知,博士,市話,915.0,4,87.295,11.4,偶爾
56.0,經理,已婚,小學,手機,650.0,8,91.297,45.0,偶爾
66.0,未知,未知,專科,市話,534.0,4,70.946,27.4,一次
55.0,未知,離婚,高中,市話,331.0,5,99.329,25.5,從未
58.0,企業家,已婚,專科,手機,154.0,9,78.422,15.0,從未
21.0,技術員,未知,大學,手機,751.0,9,89.460,34.8,頻繁
44.0,主管,已婚,高中,市話,984.0,11,72.924,-4.6,一次
43.0,自僱人士,已婚,專科,市話,337.0,8,63.878,-37.3,頻繁
30.0,學生,離婚,專科,市話,611.0,10,75.139,-12.0,偶爾
23.0,主管,離婚,國中,手機,979.0,4,70.512,-46.5,偶爾
37.0,主管,單身,小學,市話,284.0,1,64.471,-4.2,從未
53.0,主管,單身,小學,市話,811.0,10,65.310,13.4,頻繁
29.0,主管,已婚,高職,市話,65.0,1,71.364,40.5,偶爾
56.0,家管,已婚,小學,手機,554.0,5,79.764,-32.0,頻繁
56.0,自僱人士,單身,小學,手機,478.0,3,89.315,33.5,一次
59.0,經理,未知,國中,市話,924.0,10,87.015,-40.9,一次
45.0,經理,離婚,高職,手機,945.0,12,60.669,0.5,從未
53.0,退休,未知,高職,手機,899.0,12,99.593,-17.8,一次
35.0,家管,已婚,博士,市話,360.0,11,61.138,15.6,一次
59.0,企業家,已婚,專科,市話,242.0,8,79.925,43.8,偶爾
56.0,家管,離婚,小學,手機,865.0,1,99.212,-37.6,偶爾
66.0,無業,已婚,小學,市話,772.0,4,80.397,26.9,頻繁
62.0,企業家,單身,國中,市話,201.0,3,63.951,5.1,一次
57.0,服務業,未知,國中,手機,726.0,8,67.624,46.0,偶爾
67.0,無業,已婚,高中,市話,284.0,10,64.269,27.1,一次
31.0,經理,未知,小學,市話,776.0,5,86.068,19.6,從未
40.0,企業家,未知,高中,市話,480.0,6,81.741,2.7,一次
60.0,未知,已婚,博士,市話,731.0,4,95.195,8.1,一次
23.0,經理,離婚,高中,手機,607.0,11,64.653,-1.3,一次
38.0,企業家,離婚,博士,手機,708.0,5,93.608,-47.6,偶爾
32.0,自僱人士,離婚,博士,市話,839.0,6,71.697,32.0,一次
30.0,技術員,離婚,高職,市話,966.0,6,80.210,-25.2,從未
65.0,企業家,已婚,小學,手機,843.0,9,98.117,6.5,偶爾
39.0,服務業,已婚,高職,市話,793.0,9,79.380,-9.1,一次
36.0,企業家,離婚,高中,市話,874.0,1,64.711,38.3,一次
45.0,自僱人士,未知,小學,手機,755.0,1,72.739,-39.0,從未
51.0,家管,單身,高職,市話,221.0,3,60.870,16.6,頻繁
39.0,企業家,單身,高中,市話,307.0,5,78.571,13.8,頻繁
55.0,未知,已婚,博士,市話,967.0,1,77.519,-10.0,頻繁
51.0,未知,已婚,高職,手機,153.0,12,60.980,17.5,一次
57.0,學生,未知,國中,手機,518.0,7,75.612,-20.3,從未
57.0,主管,已婚,高職,手機,997.0,3,79.798,-15.4,頻繁
40.0,未知,已婚,國中,市話,239.0,5,92.764,-13.0,偶爾
68.0,企業家,離婚,博士,手機,559.0,4,70.086,-39.0,從未
59.0,退休,離婚,高職,手機,716.0,9,77.062,39.5,一次
25.0,經理,未知,高中,市話,337.0,3,73.401,21.8,頻繁
60.0,未知,未知,小學,手機,558.0,7,86.429,41.2,偶爾
39.0,退休,離婚,大學,手機,403.0,1,94.000,13.7,一次
54.0,未知,單身,小學,手機,741.0,1,77.708,-9.6,偶爾
62.0,經理,離婚,博士,手機,85.0,3,69.808,25.0,一次
67.0,服務業,單身,高中,市話,438.0,9,96.495,-8.7,頻繁
64.0,未知,單身,高中,市話,787.0,7,93.575,28.6,偶爾
35.0,家管,已婚,國中,市話,69.0,1,91.575,32.2,一次
28.0,企業家,離婚,高中,手機,963.0,1,83.464,25.3,頻繁
35.0,技術員,單身,大學,市話,582.0,2,72.342,-45.7,一次
32.0,自僱人士,未知,專科,市話,806.0,9,88.998,-14.4,偶爾
34.0,自僱人士,離婚,專科,市話,703.0,2,80.077,13.8,偶爾
64.0,主管,單身,專科,手機,634.0,11,98.151,46.0,從未
56.0,藍領,單身,高中,手機,606.0,6,81.344,-3.3,偶爾
29.0,未知,未知,專科,手機,157.0,12,70.490,5.3,一次
46.0,企業家,未知,博士,手機,454.0,12,61.568,-0.7,一次
34.0,技術員,離婚,小學,市話,692.0,6,91.169,5.4,偶爾
27.0,經理,未知,國中,手機,72.0,9,97.242,29.0,頻繁
66.0,無業,離婚,小學,市話,445.0,9,88.502,-31.6,頻繁
55.0,主管,未知,小學,市話,459.0,11,94.998,15.3,偶爾
38.0,主管,已婚,高中,手機,339.0,7,96.645,40.5,從未
35.0,未知,已婚,高職,市話,764.0,9,94.323,-12.9,偶爾
35.0,學生,單身,國中,手機,215.0,8,63.101,22.2,從未
38.0,藍領,已婚,專科,市話,412.0,4,88.106,-40.1,一次
45.0,主管,已婚,博士,手機,811.0,11,72.377,6.6,一次
63.0,企業家,離婚,高職,手機,118.0,5,82.076,-30.6,頻繁
56.0,服務業,單身,大學,市話,585.0,11,91.942,25.3,頻繁
50.0,服務業,離婚,高職,市話,378.0,6,91.885,-37.7,偶爾
66.0,主管,單身,高職,市話,971.0,3,79.969,-10.6,從未
69.0,企業家,離婚,大學,市話,57.0,6,76.921,36.9,一次
61.0,自僱人士,離婚,博士,市話,941.0,12,97.248,10.6,一次
28.0,未知,單身,高職,手機,722.0,8,85.592,-16.8,一次
22.0,服務業,離婚,博士,市話,159.0,4,74.586,-30.5,偶爾
22.0,無業,離婚,大學,手機,20.0,12,60.771,-28.5,頻繁
47.0,技術員,未知,大學,手機,716.0,4,94.384,43.4,偶爾
22.0,未知,單身,專科,市話,357.0,6,70.349,36.7,從未
68.0,技術員,已婚,專科,手機,405.0,3,68.550,-4.3,從未
47.0,學生,單身,小學,市話,402.0,3,80.588,7.8,一次
22.0,企業家,未知,國中,市話,620.0,10,68.143,14.0,偶爾
26.0,技術員,未知,小學,手機,74.0,10,94.445,-2.9,頻繁
65.0,無業,已婚,專科,手機,554.0,3,62.060,-45.2,一次
50.0,企業家,未知,高職,手機,432.0,10,78.784,19.5,頻繁
49.0,經理,單身,大學,手機,34.0,11,87.558,32.0,一次
67.0,經理,單身,大學,市話,480.0,1,69.716,24.1,偶爾
66.0,自僱人士,已婚,高中,手機,918.0,12,84.711,-23.5,從未
22.0,企業家,離婚,小學,手機,177.0,11,91.203,48.3,偶爾
32.0,學生,離婚,高中,市話,900.0,7,76.032,-16.8,一次
41.0,未知,已婚,高中,手機,954.0,7,65.931,6.8,從未
56.0,無業,未知,國中,市話,346.0,11,83.044,-27.9,一次
64.0,技術員,離婚,國中,手機,202.0,8,67.600,6.4,頻繁
67.0,家管,已婚,高中,手機,497.0,7,60.824,-32.6,從未
63.0,經理,離婚,高中,市話,157.0,3,68.897,-23.8,從未
28.0,服務業,未知,國中,市話,554.0,5,62.249,-10.9,從未
36.0,藍領,已婚,高中,手機,979.0,4,78.947,-27.7,從未
42.0,無業,未知,大學,手機,570.0,10,74.381,-36.2,頻繁
51.0,企業家,已婚,專科,市話,370.0,9,78.042,-16.7,從未
54.0,主管,已婚,專科,市話,843.0,12,84.231,-45.7,從未
50.0,家管,單身,高職,手機,277.0,2,76.562,24.0,從未
52.0,技術員,單身,國中,手機,982.0,8,89.743,-44.0,頻繁
28.0,未知,離婚,博士,市話,857.0,3,60.510,-27.4,從未
68.0,藍領,未知,國中,手機,280.0,9,79.581,-5.8,一次
38.0,藍領,已婚,專科,手機,818.0,6,99.955,25.6,從未
48.0,無業,單身,小學,市話,49.0,3,83.241,9.3,頻繁
21.0,藍領,單身,小學,手機,62.0,8,71.351,9.1,頻繁
33.0,服務業,未知,大學,手機,630.0,3,67.635,41.0,從未
49.0,退休,離婚,博士,手機,876.0,8,93.468,-13.0,偶爾
52.0,退休,已婚,博士,手機,756.0,6,89.897,11.5,偶爾
64.0,藍領,離婚,大學,市話,167.0,6,73.183,28.5,一次
30.0,家管,已婚,高職,市話,100.0,9,96.623,-17.8,頻繁
67.0,主管,離婚,高中,手機,209.0,3,86.194,-32.2,偶爾
67.0,企業家,離婚,大學,手機,600.0,1,70.449,-23.1,偶爾
52.0,未知,離婚,小學,市話,507.0,12,83.727,-7.6,從未
21.0,未知,未知,小學,市話,63.0,6,95.018,-39.2,偶爾
40.0,無業,已婚,專科,手機,905.0,9,95.317,-13.3,偶爾
34.0,藍領,單身,小學,市話,306.0,6,63.629,-34.0,從未
63.0,服務業,單身,高職,手機,417.0,8,85.918,23.6,偶爾
32.0,無業,單身,專科,市話,671.0,7,65.566,14.9,一次
61.0,家管,已婚,博士,市話,886.0,4,89.941,25.4,從未
29.0,退休,單身,高職,市話,172.0,9,93.311,-9.2,從未
43.0,退休,單身,專科,手機,144.0,4,92.830,-14.3,頻繁
30.0,自僱人士,未知,大學,手機,283.0,10,95.044,26.5,偶爾
44.0,經理,離婚,國中,手機,991.0,11,60.625,-10.7,偶爾
68.0,藍領,已婚,高中,手機,568.0,6,77.350,-38.2,一次
66.0,未知,未知,專科,市話,487.0,10,68.438,-48.7,一次
53.0,主管,離婚,博士,手機,751.0,9,95.689,-40.3,從未
32.0,企業家,單身,大學,手機,587.0,3,79.280,-3.2,偶爾
62.0,藍領,未知,大學,手機,765.0,10,63.446,-20.2,一次
55.0,自僱人士,離婚,博士,市話,892.0,6,65.287,-29.8,一次
43.0,無業,已婚,國中,手機,904.0,8,78.298,-15.9,頻繁
52.0,未知,離婚,高中,手機,994.0,5,84.709,22.8,一次
21.0,技術員,已婚,大學,手機,891.0,4,97.065,-6.5,從未
24.0,藍領,單身,高職,手機,413.0,5,71.420,10.2,偶爾
50.0,無業,已婚,專科,市話,644.0,2,82.379,18.2,一次
28.0,經理,未知,國中,手機,364.0,1,71.029,13.1,一次
49.0,服務業,單身,專科,市話,298.0,3,67.422,23.2,偶爾
54.0,家管,單身,專科,市話,693.0,9,61.458,-7.1,一次
60.0,未知,離婚,大學,市話,798.0,12,95.339,-22.7,一次
40.0,經理,單身,小學,手機,713.0,3,69.348,20.3,從未
25.0,技術員,未知,高職,手機,182.0,5,99.793,-2.6,一次
31.0,學生,已婚,小學,市話,643.0,4,60.520,-11.2,偶爾
52.0,企業家,已婚,專科,手機,502.0,8,60.505,-24.2,一次
30.0,自僱人士,單身,高職,市話,939.0,8,77.491,-13.4,一次
52.0,未知,離婚,專科,市話,54.0,9,65.854,-36.7,從未
28.0,經理,離婚,小學,手機,139.0,9,94.695,-33.0,頻繁
